City,date,AvgTemperature,PredictedTemps
Bordeaux,2018-07-22,71.5,71.70270907678481
Bordeaux,2018-07-29,74.74285714285713,69.43339865624273
Bordeaux,2018-08-05,79.0,68.97007752702191
Bordeaux,2018-08-12,72.44285714285715,68.59567654932759
Bordeaux,2018-08-19,70.45714285714287,68.54556682131823
Bordeaux,2018-08-26,71.4,69.64061318916869
Bordeaux,2018-09-02,69.65714285714286,67.0527395018787
Bordeaux,2018-09-09,66.87142857142858,64.36370571456962
Bordeaux,2018-09-16,69.07142857142857,61.93507186601274
Bordeaux,2018-09-23,69.54285714285713,62.04184132545294
Bordeaux,2018-09-30,63.32857142857143,61.93797993778504
Bordeaux,2018-10-07,59.51428571428572,58.280975593785215
Bordeaux,2018-10-14,64.15714285714286,56.58652245280758
Bordeaux,2018-10-21,60.31428571428571,55.40052366533478
Bordeaux,2018-10-28,52.35714285714285,53.49556674823734
Bordeaux,2018-11-04,48.01428571428571,51.96881604792407
Bordeaux,2018-11-11,52.971428571428575,49.30699909198047
Bordeaux,2018-11-18,51.67142857142856,47.77522985862797
Bordeaux,2018-11-25,44.32857142857143,47.25385963676718
Bordeaux,2018-12-02,49.08571428571429,42.93238633593554
Bordeaux,2018-12-09,54.62857142857143,42.730871769697096
Bordeaux,2018-12-16,44.2,45.48602183665129
Bordeaux,2018-12-23,51.51428571428571,45.61957314729205
Bordeaux,2018-12-30,44.65714285714286,44.7036613140228
Bordeaux,2019-01-06,38.442857142857136,46.0285169303284
Bordeaux,2019-01-13,42.342857142857135,43.656021648935294
Bordeaux,2019-01-20,44.757142857142846,43.66303783084085
Bordeaux,2019-01-27,43.81666666666667,44.581434471603835
Bordeaux,2019-02-03,43.457142857142856,43.69594885504841
Bordeaux,2019-02-10,49.471428571428575,44.367151450305215
Bordeaux,2019-02-17,48.02857142857143,47.203949885523954
Bordeaux,2019-02-24,50.2,46.30750617268089
Bordeaux,2019-03-03,54.31428571428571,48.74754261315066
Bordeaux,2019-03-10,51.771428571428565,51.04798798691496
Bordeaux,2019-03-17,50.285714285714285,51.556933891372495
Bordeaux,2019-03-24,51.72857142857144,50.309615733430746
Bordeaux,2019-03-31,53.72857142857142,53.44933240378885
Bordeaux,2019-04-07,49.85714285714285,56.04446007434474
Bordeaux,2019-04-14,51.58571428571428,57.29556573934875
Bordeaux,2019-04-21,60.54285714285714,58.43101976959754
Bordeaux,2019-04-28,55.0,57.18639097231287
Bordeaux,2019-05-05,54.12857142857143,60.20672221490981
Bordeaux,2019-05-12,56.72857142857142,61.580670813859115
Bordeaux,2019-05-19,57.16,61.190707319717774
Bordeaux,2019-05-26,60.771428571428565,65.77583916504665
Bordeaux,2019-06-02,65.28571428571429,66.63022729098783
Bordeaux,2019-06-09,61.442857142857136,66.97676126361578
Bordeaux,2019-06-16,58.371428571428574,67.39461919891677
Bordeaux,2019-06-23,69.35714285714286,69.82540919237509
Bordeaux,2019-06-30,75.82857142857142,68.88236563477302
Bordeaux,2019-07-07,75.75714285714287,70.80716780352314
Bordeaux,2019-07-14,74.95714285714284,70.49817097091915
Bordeaux,2019-07-21,72.67142857142856,71.86317705137644
Bordeaux,2019-07-28,76.91428571428573,69.5159514127117
Bordeaux,2019-08-04,69.91428571428571,68.99058845412591
Bordeaux,2019-08-11,71.78571428571429,68.74812274962711
Bordeaux,2019-08-18,67.42857142857143,68.62937108161218
Bordeaux,2019-08-25,71.84285714285714,69.44941555749041
Bordeaux,2019-09-01,72.8,67.12938381506687
Bordeaux,2019-09-08,63.68571428571429,64.39259828679513
Bordeaux,2019-09-15,67.27142857142857,62.14851648235695
Bordeaux,2019-09-22,71.77142857142857,62.0746943730101
Bordeaux,2019-09-29,64.15714285714287,61.9018107800937
Bordeaux,2019-10-06,62.0,58.18796560667155
Bordeaux,2019-10-13,64.35714285714286,56.406261349837
Bordeaux,2019-10-20,57.82857142857143,55.1439426929455
Bordeaux,2019-10-27,57.41428571428572,53.314612118091
Bordeaux,2019-11-03,57.82857142857143,51.9175214909829
Bordeaux,2019-11-10,46.68571428571429,49.333529766265535
Bordeaux,2019-11-17,44.37142857142857,47.9403453054816
Bordeaux,2019-11-24,44.85714285714285,47.216695773463165
Bordeaux,2019-12-01,49.7,43.10674930580144
Bordeaux,2019-12-08,44.8,42.79003210267821
Bordeaux,2019-12-15,50.67142857142857,45.51260488115012
Bordeaux,2019-12-22,51.142857142857146,45.65944905867223
Bordeaux,2019-12-29,48.58571428571429,44.60018215639888
Bordeaux,2020-01-05,45.08571428571429,45.82893235803943
Bordeaux,2020-01-12,44.32857142857143,43.60255962141455
Bordeaux,2020-01-19,47.04285714285714,43.383005992732585
Bordeaux,2020-01-26,46.41428571428572,44.492971963593725
Bordeaux,2020-02-02,52.81428571428573,43.71548125404414
Bordeaux,2020-02-09,50.257142857142846,44.61657680187214
Bordeaux,2020-02-16,52.81428571428571,47.24157970594791
Bordeaux,2020-02-23,48.4,46.50657559997413
Bordeaux,2020-03-01,49.12857142857143,49.02007915674097
Bordeaux,2020-03-08,47.5,51.017321257567154
Bordeaux,2020-03-15,50.74285714285714,51.68763772187072
Bordeaux,2020-03-22,55.371428571428574,50.58031683088393
Bordeaux,2020-03-29,50.471428571428575,53.58590548823136
Bordeaux,2020-04-05,51.25714285714286,56.07638766541144
Bordeaux,2020-04-12,59.58571428571429,57.441770231497046
Bordeaux,2020-04-19,61.5,58.16124200649492
Bordeaux,2020-04-26,59.385714285714286,57.26604175088559
Bordeaux,2020-05-03,55.0,60.424045949099806
Bordeaux,2020-05-10,64.77142857142857,61.70241467621032
Bordeaux,2020-05-17,50.833333333333336,61.18519458538369
BridgeportConnecticut,2018-05-27,66.39999999999999,63.74492052448439
BridgeportConnecticut,2018-06-03,63.17142857142857,64.15782278058474
BridgeportConnecticut,2018-06-10,63.11428571428572,66.70547948425086
BridgeportConnecticut,2018-06-17,67.95714285714286,70.0147841749098
BridgeportConnecticut,2018-06-24,69.85714285714286,71.95822472162266
